,in_prod_name,pro_status_cd,status_list,category,3,5,12,no_numbers
98,FPSFJBF-D6-L48-M3-U3-SC12,430-12-13-431-40-39-3-202-203-4-10-11,"['430', '12', '13', '431', '40', '39', '3', '202', '203', '4', '10', '11']",2,1,0,1,FPSFJBF-D-L-M-U-SC
99,FPSFJBF-D6-L49-M3-U2-SC12,40-39-431-13-430-12-10-3-11-203-4-202,"['40', '39', '431', '13', '430', '12', '10', '3', '11', '203', '4', '202']",2,1,0,1,FPSFJBF-D-L-M-U-SC
100,FPSFJBG-D20-L150-M10,3-4-39-202-10-203-11-40,"['3', '4', '39', '202', '10', '203', '11', '40']",2,1,0,0,FPSFJBG-D-L-M
101,FPSFJBG-D20-L165-M10,39-10-40-11-203-3-4-202,"['39', '10', '40', '11', '203', '3', '4', '202']",2,1,0,0,FPSFJBG-D-L-M
102,FPSFJBG-D20-L250-M8,203-10-202-3-4-39-40-11,"['203', '10', '202', '3', '4', '39', '40', '11']",2,1,0,0,FPSFJBG-D-L-M
103,FPSFJBH-D16-L204-M8-N4-W8,11-39-4-202-40-3-10-203,"['11', '39', '4', '202', '40', '3', '10', '203']",2,1,0,0,FPSFJBH-D-L-M-N-W
104,FPSFJBH-D16-L204-M8-N4-W8,4-40-11-203-202-39-3-10,"['4', '40', '11', '203', '202', '39', '3', '10']",2,1,0,0,FPSFJBH-D-L-M-N-W
105,FPSFJBH-D20-L110-M10-N5-W10,39-3-40-10-202-4-11-203,"['39', '3', '40', '10', '202', '4', '11', '203']",2,1,0,0,FPSFJBH-D-L-M-N-W
106,FPSFJBH-D20-L110-M10-N5-W10,11-3-203-4-202-39-10-40,"['11', '3', '203', '4', '202', '39', '10', '40']",2,1,0,0,FPSFJBH-D-L-M-N-W
107,FPSFJBH-D20-L110-M10-N5-W10,203-11-202-39-40-10-3,"['203', '11', '202', '39', '40', '10', '3']",2,1,0,0,FPSFJBH-D-L-M-N-W
108,FPSFJBH-D20-L110-M10-N5-W10,4-203-3-202-10-40-39-11,"['4', '203', '3', '202', '10', '40', '39', '11']",2,1,0,0,FPSFJBH-D-L-M-N-W
109,FPSFJBH-D20-L110-M10-N5-W10,11-203-39-3-202-10-40,"['11', '203', '39', '3', '202', '10', '40']",2,1,0,0,FPSFJBH-D-L-M-N-W
110,FPSFJBT-D10-L90-M6-Z10-SC50,430-203-40-12-202-39-10-13-431-11,"['430', '203', '40', '12', '202', '39', '10', '13', '431', '11']",2,0,0,1,FPSFJBT-D-L-M-Z-SC
111,FPSFJBT-D12-L32-M6-Z5-SC10,10-202-11-203-12-430-40-431-39-13,"['10', '202', '11', '203', '12', '430', '40', '431', '39', '13']",2,0,0,1,FPSFJBT-D-L-M-Z-SC
112,FPSFJBT-D16-L107-M6-Z10-SC50,10-202-4-13-430-12-11-203-3-40-39-431,"['10', '202', '4', '13', '430', '12', '11', '203', '3', '40', '39', '431']",2,1,0,1,FPSFJBT-D-L-M-Z-SC
113,FPSFJBT-D20-L250-M8-Z25-SC120,4-3-13-39-40-431-430-10-12-202-203-11,"['4', '3', '13', '39', '40', '431', '430', '10', '12', '202', '203', '11']",2,1,0,1,FPSFJBT-D-L-M-Z-SC
114,FPSFJCA-D16-L225-F30-M10-B16,202-11-4-203-10-39-40-3,"['202', '11', '4', '203', '10', '39', '40', '3']",2,1,0,0,FPSFJCA-D-L-F-M-B
115,FPSFJCA-D20-L200-F15-M10-B12-SC0,10-203-202-431-4-430-40-39-12-11-13-3,"['10', '203', '202', '431', '4', '430', '40', '39', '12', '11', '13', '3']",2,1,0,1,FPSFJCA-D-L-F-M-B-SC
116,FPSFJCA-D20-L210-F15-M10-B5-SC0,11-203-10-12-431-202-3-40-39-430-4-13,"['11', '203', '10', '12', '431', '202', '3', '40', '39', '430', '4', '13']",2,1,0,1,FPSFJCA-D-L-F-M-B-SC
117,FPSFJCA-D25-L510-F25-M16-B20,3-4-203-39-10-202-11-40,"['3', '4', '203', '39', '10', '202', '11', '40']",2,1,0,0,FPSFJCA-D-L-F-M-B
118,FPSFJCB-D10-L150-F13-M8-B10-N6,11-4-203-3-202-10-39-40,"['11', '4', '203', '3', '202', '10', '39', '40']",2,1,0,0,FPSFJCB-D-L-F-M-B-N
