client_cd,order_cd,pro_seq,pro_status_cd
1098,533021,1,10-202-39-40-203-11-3-4
1098,533555,1,12-430-431-13-39-40-3-4-10-202-5-6-11-203
1098,533557,1,12-430-13-431-11-203-39-40-3-4-5-10-202
1098,533709,1,10-202-203-11-39-40
1098,533711,1,3-4-5-6-10-202-203-11-12-430-13-431-39-40
1098,533973,1,12-430-13-431-39-40-10-200-201-11
1098,533975,1,3-4-5-6-12-430-13-431-10-202-39-40-11-203
1098,534369,1,12-430-431-13-39-40-203-11-3-4-5-6-10-202
1098,534733,1,39-40-10-200-201-11-12-430-13-431
1098,534736,1,39-40-10-200-11-201
1240,525983,1,39-40-3-4-10-202-203-11
1240,526105,1,10-202-203-12-430-13-431-39-40-11
1240,526123,1,203-11-10-202-39-40-3-4
1240,526314,1,3-4-5-6-10-202-203-11-39-40
1240,526330,1,10-202-203-11-39-40-3-4-5-6
1242,310964,1,39-40-10-202-11-203-3-4
1242,310991,1,10-202-11-203-3-4-5-6-39-40
1242,311128,1,39-40-3-4-10-202-203-11
1242,311142,1,39-40-3-4-11
1242,311236,1,39-40-3-4-5-6-10-202-203-11
1242,311291,1,39-40-3-4-5-6-10-202-203-11
1242,311315,1,10-202-11-203-4-5-6-12-430-13-431-39-40-3
1242,311368,1,10-204-11-205-39-40-3-4
1242,311396,1,10-200-39-40-11-201
1242,311429,1,3-4-5-6-10-202-203-11-39-40
1242,311430,1,3-4-5-6-10-202-203-11-39-40
1242,311476,1,39-40-3-4-5-6-10-202-203-11
1242,311479,1,10-200-201-11-39-40
1242,311480,1,10-200-201-11-39-40
1242,311482,1,10-200-201-11-39-40
1242,311483,1,10-200-201-11-39-40
1242,311845,1,39-40-3-4-10-202-11-203
1242,311856,1,3-4-5-6-39-40-10-202-203-12-430-13-431-11
1242,311857,1,39-40-10-200-201-11
1242,311858,1,10-39-40-200-201-11
1242,311866,1,12-430-13-431-39-40-10-200-201-11
1242,311914,1,10-202-203-11-39-40
1242,311927,1,39-40-11-10-200-201
1242,312142,1,10-202-203-11-39-40-3-4
1242,312143,1,39-40-3-4-10-202-203-11
1242,312144,1,39-40-3-4-10-202-203-11
1242,312314,1,12-13-430-431-3-4-39-40-5-6-10-202-11-203
1242,312315,1,12-430-13-431-39-40-3-4-10-202-11-203
1242,312432,1,3-4-39-40-10-204-205-11
1242,312433,1,3-4-39-40-10-204-205-11
1242,312441,1,3-4-10-204-11-205-39-40
1242,312478,1,3-4-5-10-202-203-11-12-430-13-431-39-40
1242,312480,1,10-202-203-11-39-40-3-4
